name,metric,weight,roles
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,10,Sr Manager I
Margins/Optimizations - Attrition,Attrition Percentage,5,Sr Manager I
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",5,Sr Manager I
Differentiated Delivery - Delivery Right First,Delivery Right First,10,Sr Manager I
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Sr Manager I
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Sr Manager I
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",,Sr Manager I
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Sr Manager I
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",5,Sr Manager I
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Sr Manager I
Employee Experience - Employee Satisfaction,ESAT Index,10,Sr Manager I
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Sr Manager I
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Sr Manager I
Customer Delight - Customer Satisfaction,CSAT Index,15,Architect
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Architect
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),5,Architect
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),10,Architect
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Architect
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Architect
Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Architect
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Architect
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,5,Architect
Margins/Optimizations - Attrition,Attrition Percentage,5,Architect
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",5,Architect
Differentiated Delivery - Delivery Right First,Delivery Right First,5,Architect
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Architect
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Architect
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",10,Architect
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,15,Architect
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",5,Architect
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Architect
Employee Experience - Employee Satisfaction,ESAT Index,10,Architect
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Architect
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Architect
Customer Delight - Customer Satisfaction,CSAT Index,15,Manager II
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Manager II
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),5,Manager II
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Manager II
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Manager II
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Manager II
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Manager II
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Manager II
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Manager II
Margins/Optimizations - Attrition,Attrition Percentage,5,Manager II
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Manager II
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Manager II
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Manager II
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",5,Manager II
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",10,Manager II
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,10,Manager II
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",10,Manager II
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Manager II
Employee Experience - Employee Satisfaction,ESAT Index,5,Manager II
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Manager II
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Manager II
Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Principal Specialist
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Sr Principal Specialist
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),5,Sr Principal Specialist
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Sr Principal Specialist
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Sr Principal Specialist
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Sr Principal Specialist
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Sr Principal Specialist
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Principal Specialist
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Sr Principal Specialist
Margins/Optimizations - Attrition,Attrition Percentage,5,Sr Principal Specialist
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Sr Principal Specialist
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Sr Principal Specialist
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Sr Principal Specialist
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",5,Sr Principal Specialist
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",10,Sr Principal Specialist
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,10,Sr Principal Specialist
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",10,Sr Principal Specialist
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Sr Principal Specialist
Employee Experience - Employee Satisfaction,ESAT Index,5,Sr Principal Specialist
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Sr Principal Specialist
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Sr Principal Specialist
Customer Delight - Customer Satisfaction,CSAT Index,15,Manager I
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Manager I
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),5,Manager I
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Manager I
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Manager I
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Manager I
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Manager I
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Manager I
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Manager I
Margins/Optimizations - Attrition,Attrition Percentage,5,Manager I
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Manager I
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Manager I
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Manager I
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",5,Manager I
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",10,Manager I
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,10,Manager I
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",10,Manager I
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Manager I
Employee Experience - Employee Satisfaction,ESAT Index,5,Manager I
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Manager I
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Manager I
Customer Delight - Customer Satisfaction,CSAT Index,15,Principal Specialist
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Principal Specialist
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),5,Principal Specialist
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Principal Specialist
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Principal Specialist
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Principal Specialist
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Principal Specialist
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Principal Specialist
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Principal Specialist
Margins/Optimizations - Attrition,Attrition Percentage,5,Principal Specialist
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Principal Specialist
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Principal Specialist
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Principal Specialist
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",5,Principal Specialist
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",10,Principal Specialist
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,10,Principal Specialist
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",10,Principal Specialist
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Principal Specialist
Employee Experience - Employee Satisfaction,ESAT Index,5,Principal Specialist
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Principal Specialist
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Principal Specialist
Customer Delight - Customer Satisfaction,CSAT Index,15,Associate Manager II
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Associate Manager II
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Associate Manager II
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Associate Manager II
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Associate Manager II
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Associate Manager II
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Associate Manager II
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Associate Manager II
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Associate Manager II
Margins/Optimizations - Attrition,Attrition Percentage,,Associate Manager II
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Associate Manager II
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Associate Manager II
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Associate Manager II
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Associate Manager II
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Associate Manager II
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Associate Manager II
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Associate Manager II
