guid,parent_guid,name,metric,weight,roles
8214011,8214000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Associate Director
8214012,8214000,Differentiated Delivery - Delivery Right First,Delivery Right First,,Associate Director
8214013,8214000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Associate Director
8214014,8214000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Associate Director
8214015,8214000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",,Associate Director
8214016,8214000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,5,Associate Director
8214017,8214000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",,Associate Director
8214018,8214000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Associate Director
8214019,8214000,Employee Experience - Employee Satisfaction,ESAT Index,5,Associate Director
8214020,8214000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Associate Director
8214021,8214000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Associate Director
8215001,8215000,Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Manager II
8215002,8215000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,5,Sr Manager II
8215003,8215000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),15,Sr Manager II
8215004,8215000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),5,Sr Manager II
8215005,8215000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Sr Manager II
8215006,8215000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Sr Manager II
8215007,8215000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Sr Manager II
8215008,8215000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Manager II
8215009,8215000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,10,Sr Manager II
8215010,8215000,Margins/Optimizations - Attrition,Attrition Percentage,5,Sr Manager II
8215011,8215000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",5,Sr Manager II
8215012,8215000,Differentiated Delivery - Delivery Right First,Delivery Right First,10,Sr Manager II
8215013,8215000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Sr Manager II
8215014,8215000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Sr Manager II
8215015,8215000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",,Sr Manager II
8215016,8215000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Sr Manager II
8215017,8215000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",5,Sr Manager II
8215018,8215000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Sr Manager II
8215019,8215000,Employee Experience - Employee Satisfaction,ESAT Index,10,Sr Manager II
8215020,8215000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Sr Manager II
8215021,8215000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Sr Manager II
8216001,8216000,Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Architect
8216002,8216000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Sr Architect
8216003,8216000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),5,Sr Architect
8216004,8216000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),10,Sr Architect
8216005,8216000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Sr Architect
8216006,8216000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Sr Architect
8216007,8216000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Sr Architect
8216008,8216000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Architect
8216009,8216000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,5,Sr Architect
8216010,8216000,Margins/Optimizations - Attrition,Attrition Percentage,5,Sr Architect
8216011,8216000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",5,Sr Architect
8216012,8216000,Differentiated Delivery - Delivery Right First,Delivery Right First,5,Sr Architect
8216013,8216000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Sr Architect
8216014,8216000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Sr Architect
8216015,8216000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",10,Sr Architect
8216016,8216000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,15,Sr Architect
8216017,8216000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",5,Sr Architect
8216018,8216000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Sr Architect
8216019,8216000,Employee Experience - Employee Satisfaction,ESAT Index,10,Sr Architect
8216020,8216000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Sr Architect
8216021,8216000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Sr Architect
8217001,8217000,Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Manager I
8217002,8217000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,5,Sr Manager I
8217003,8217000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),15,Sr Manager I
8217004,8217000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at -<<Budgeted OB>>),5,Sr Manager I
8217005,8217000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Sr Manager I
8217006,8217000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Sr Manager I
8217007,8217000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Sr Manager I
8217008,8217000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Manager I
8217009,8217000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,10,Sr Manager I
8217010,8217000,Margins/Optimizations - Attrition,Attrition Percentage,5,Sr Manager I
8217011,8217000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",5,Sr Manager I
8217012,8217000,Differentiated Delivery - Delivery Right First,Delivery Right First,10,Sr Manager I
8217013,8217000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Sr Manager I
8217014,8217000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Sr Manager I
8217015,8217000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",,Sr Manager I
8217016,8217000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Sr Manager I
8217017,8217000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",5,Sr Manager I
8217018,8217000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Sr Manager I
8217019,8217000,Employee Experience - Employee Satisfaction,ESAT Index,10,Sr Manager I
8217020,8217000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Sr Manager I
8217021,8217000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Sr Manager I
8218001,8218000,Customer Delight - Customer Satisfaction,CSAT Index,15,Architect
8218002,8218000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Architect
8218003,8218000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),5,Architect
8218004,8218000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),10,Architect
8218005,8218000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Architect
8218006,8218000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Architect
8218007,8218000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Architect
8218008,8218000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Architect
8218009,8218000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,5,Architect
8218010,8218000,Margins/Optimizations - Attrition,Attrition Percentage,5,Architect
8218011,8218000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",5,Architect
8218012,8218000,Differentiated Delivery - Delivery Right First,Delivery Right First,5,Architect
8218013,8218000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Architect
8218014,8218000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Architect
8218015,8218000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",10,Architect
8218016,8218000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,15,Architect
8218017,8218000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",5,Architect
8218018,8218000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Architect
8218019,8218000,Employee Experience - Employee Satisfaction,ESAT Index,10,Architect
8218020,8218000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Architect
8218021,8218000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Architect
8219001,8219000,Customer Delight - Customer Satisfaction,CSAT Index,15,Manager II
8219002,8219000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Manager II
8219003,8219000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),5,Manager II
8219004,8219000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Manager II
8219005,8219000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Manager II
8219006,8219000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Manager II
8219007,8219000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Manager II
8219008,8219000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Manager II
8219009,8219000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Manager II
8219010,8219000,Margins/Optimizations - Attrition,Attrition Percentage,5,Manager II
8219011,8219000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Manager II
8219012,8219000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Manager II
8219013,8219000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Manager II
8219014,8219000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",5,Manager II
8219015,8219000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",10,Manager II
8219016,8219000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,10,Manager II
8219017,8219000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",10,Manager II
8219018,8219000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Manager II
8219019,8219000,Employee Experience - Employee Satisfaction,ESAT Index,5,Manager II
8219020,8219000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Manager II
8219021,8219000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Manager II
8220001,8220000,Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Principal Specialist
8220002,8220000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Sr Principal Specialist
8220003,8220000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),5,Sr Principal Specialist
8220004,8220000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Sr Principal Specialist
8220005,8220000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Sr Principal Specialist
8220006,8220000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Sr Principal Specialist
8220007,8220000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Sr Principal Specialist
8220008,8220000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Principal Specialist
8220009,8220000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Sr Principal Specialist
8220010,8220000,Margins/Optimizations - Attrition,Attrition Percentage,5,Sr Principal Specialist
8220011,8220000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Sr Principal Specialist
8220012,8220000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Sr Principal Specialist
8220013,8220000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Sr Principal Specialist
8220014,8220000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",5,Sr Principal Specialist
8220015,8220000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",10,Sr Principal Specialist
8220016,8220000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,10,Sr Principal Specialist
8220017,8220000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",10,Sr Principal Specialist
8220018,8220000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Sr Principal Specialist
8220019,8220000,Employee Experience - Employee Satisfaction,ESAT Index,5,Sr Principal Specialist
8220020,8220000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Sr Principal Specialist
8220021,8220000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Sr Principal Specialist
8221001,8221000,Customer Delight - Customer Satisfaction,CSAT Index,15,Manager I
8221002,8221000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Manager I
8221003,8221000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),5,Manager I
8221004,8221000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Manager I
8221005,8221000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Manager I
8221006,8221000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Manager I
8221007,8221000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Manager I
8221008,8221000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Manager I
8221009,8221000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Manager I
8221010,8221000,Margins/Optimizations - Attrition,Attrition Percentage,5,Manager I
8221011,8221000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Manager I
8221012,8221000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Manager I
8221013,8221000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Manager I
8221014,8221000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",5,Manager I
8221015,8221000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",10,Manager I
8221016,8221000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,10,Manager I
8221017,8221000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",10,Manager I
8221018,8221000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Manager I
8221019,8221000,Employee Experience - Employee Satisfaction,ESAT Index,5,Manager I
8221020,8221000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Manager I
8221021,8221000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Manager I
8223001,8223000,Customer Delight - Customer Satisfaction,CSAT Index,15,Principal Specialist
8223002,8223000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Principal Specialist
